location,month,day_of_week,hour,crash_risk_count,fatal_crashes,serious_crashes,crash_risk_level
Albury,3,Saturday,22,1,1,0,low
Albury,3,Sunday,0,2,0,0,low
Albury,3,Sunday,8,2,0,2,low
Albury,3,Sunday,12,6,0,1,medium
Albury,3,Sunday,14,2,0,1,low
Albury,3,Sunday,16,1,0,0,low
Albury,3,Sunday,18,1,1,0,low
Albury,3,Sunday,20,1,0,0,low
Albury,3,Thursday,0,1,0,0,low
Albury,3,Thursday,8,1,0,0,low
Albury,3,Thursday,10,2,0,1,low
Albury,3,Thursday,12,2,0,1,low
Albury,3,Thursday,14,2,0,0,low
Albury,3,Thursday,16,2,0,0,low
Albury,3,Thursday,18,2,0,0,low
Albury,3,Thursday,20,1,0,1,low
Albury,3,Thursday,22,1,0,0,low
Albury,3,Tuesday,2,1,0,0,low
Albury,3,Tuesday,8,3,0,0,low
Albury,3,Tuesday,10,1,0,1,low
Albury,3,Tuesday,12,2,0,0,low
Albury,3,Tuesday,14,4,0,0,low
Albury,3,Tuesday,16,4,0,0,low
Albury,3,Tuesday,18,2,0,0,low
Albury,3,Tuesday,20,3,0,1,low
Albury,3,Wednesday,0,2,0,1,low
Albury,3,Wednesday,4,1,0,0,low
Albury,3,Wednesday,6,3,0,1,low
Albury,3,Wednesday,8,4,0,2,low
Albury,3,Wednesday,10,1,0,0,low
Albury,3,Wednesday,12,1,0,0,low
Albury,3,Wednesday,16,1,0,0,low
Albury,3,Wednesday,18,2,0,0,low
Albury,3,Wednesday,20,1,0,0,low
Albury,4,Friday,6,2,0,2,low
Albury,4,Friday,8,6,0,1,medium
Albury,4,Friday,10,1,0,0,low
Albury,4,Friday,12,1,0,0,low
Albury,4,Friday,14,1,0,1,low
Albury,4,Friday,16,3,0,0,low
Albury,4,Friday,18,2,0,0,low
Albury,4,Friday,20,4,0,1,low
Albury,4,Friday,22,1,0,0,low
Albury,4,Monday,10,1,0,0,low
Albury,4,Monday,12,1,0,1,low
Albury,4,Monday,14,2,0,0,low
Albury,4,Monday,20,1,0,0,low
Albury,4,Monday,22,1,0,1,low
Albury,4,Saturday,2,1,0,0,low
Albury,4,Saturday,10,2,0,2,low
Albury,4,Saturday,14,1,0,1,low
Albury,4,Saturday,16,1,0,1,low
Albury,4,Saturday,18,1,0,0,low
Albury,4,Saturday,20,2,0,0,low
Albury,4,Saturday,22,1,0,1,low
Albury,4,Sunday,0,1,0,0,low
Albury,4,Sunday,6,1,0,1,low
Albury,4,Sunday,10,2,0,0,low
Albury,4,Sunday,12,3,0,1,low
Albury,4,Sunday,14,4,0,1,low
Albury,4,Sunday,18,2,0,0,low
Albury,4,Sunday,20,5,0,1,low
Albury,4,Sunday,22,2,0,2,low
Albury,4,Thursday,4,1,0,1,low
Albury,4,Thursday,6,4,0,1,low
Albury,4,Thursday,8,5,1,0,low
Albury,4,Thursday,12,1,0,0,low
Albury,4,Thursday,14,2,0,0,low
Albury,4,Thursday,18,1,0,0,low
Albury,4,Thursday,22,1,0,0,low
Albury,4,Tuesday,0,1,0,0,low
Albury,4,Tuesday,6,1,0,0,low
Albury,4,Tuesday,8,3,0,0,low
Albury,4,Tuesday,10,3,1,0,low
Albury,4,Tuesday,12,1,0,0,low
Albury,4,Tuesday,14,3,0,0,low
Albury,4,Tuesday,16,2,0,0,low
Albury,4,Tuesday,18,3,0,1,low
Albury,4,Tuesday,20,1,0,0,low
Albury,4,Tuesday,22,1,0,0,low
Albury,4,Wednesday,0,1,0,0,low
Albury,4,Wednesday,2,1,0,0,low
Albury,4,Wednesday,6,1,0,1,low
Albury,4,Wednesday,8,2,0,0,low
Albury,4,Wednesday,10,2,0,0,low
Albury,4,Wednesday,12,3,1,1,low
Albury,4,Wednesday,14,2,0,1,low
Albury,4,Wednesday,16,9,0,1,medium
Albury,4,Wednesday,18,1,0,0,low
Albury,4,Wednesday,22,2,0,0,low
Albury,5,Friday,0,1,0,0,low
Albury,5,Friday,8,6,0,0,medium
Albury,5,Friday,10,1,0,0,low
Albury,5,Friday,14,1,0,0,low
Albury,5,Friday,16,2,0,0,low
Albury,5,Friday,18,1,0,0,low
Albury,5,Friday,20,1,0,0,low
Albury,5,Monday,6,2,0,0,low
Albury,5,Monday,8,2,0,1,low
Albury,5,Monday,12,1,0,0,low
Albury,5,Monday,14,5,0,1,low
Albury,5,Monday,16,4,0,0,low
Albury,5,Monday,18,1,0,0,low
Albury,5,Saturday,6,2,0,1,low
Albury,5,Saturday,8,1,0,0,low
Albury,5,Saturday,10,2,0,0,low
Albury,5,Saturday,12,2,0,2,low
Albury,5,Saturday,14,1,0,0,low
Albury,5,Saturday,16,1,1,1,low
Albury,5,Saturday,18,2,0,0,low
Albury,5,Saturday,20,2,1,0,low
Albury,5,Saturday,22,1,0,1,low
Albury,5,Sunday,2,3,1,0,low
Albury,5,Sunday,4,1,0,0,low
Albury,5,Sunday,6,3,0,1,low
Albury,5,Sunday,10,4,0,1,low
Albury,5,Sunday,16,1,0,0,low
Albury,5,Sunday,18,1,0,0,low
Albury,5,Sunday,20,2,0,1,low
Albury,5,Sunday,22,1,0,1,low
Albury,5,Thursday,4,1,0,0,low
Albury,5,Thursday,8,2,0,1,low
Albury,5,Thursday,12,6,0,0,medium
Albury,5,Thursday,14,8,0,4,medium
Albury,5,Thursday,16,2,0,1,low
Albury,5,Thursday,18,4,1,2,low
Albury,5,Tuesday,4,1,0,1,low
Albury,5,Tuesday,6,1,1,0,low
Albury,5,Tuesday,8,1,0,0,low
Albury,5,Tuesday,10,2,0,1,low
Albury,5,Tuesday,12,5,0,1,low
Albury,5,Tuesday,14,3,0,0,low
Albury,5,Tuesday,16,5,0,1,low
Albury,5,Tuesday,18,2,0,1,low
Albury,5,Tuesday,20,1,0,0,low
Albury,5,Tuesday,22,1,0,0,low
Albury,5,Wednesday,6,3,0,0,low
Albury,5,Wednesday,8,2,0,0,low
Albury,5,Wednesday,10,1,0,0,low
Albury,5,Wednesday,12,2,0,2,low
Albury,5,Wednesday,14,2,0,0,low
Albury,5,Wednesday,16,3,0,0,low
Albury,5,Wednesday,18,3,1,0,low
Albury,5,Wednesday,22,1,0,0,low
Albury,6,Friday,2,1,0,0,low
Albury,6,Friday,8,2,0,1,low
Albury,6,Friday,10,1,0,0,low
Albury,6,Friday,12,2,0,0,low
Albury,6,Friday,14,2,0,0,low
Albury,6,Friday,16,1,0,0,low
Albury,6,Friday,18,2,0,0,low
Albury,6,Friday,20,3,0,1,low
Albury,6,Friday,22,1,0,0,low
Albury,6,Monday,4,1,0,1,low
Albury,6,Monday,6,2,0,1,low
Albury,6,Monday,8,2,0,1,low
Albury,6,Monday,10,1,0,0,low
Albury,6,Monday,12,1,0,0,low
Albury,6,Monday,14,1,0,0,low
Albury,6,Monday,16,1,0,1,low
Albury,6,Monday,18,2,0,1,low
Albury,6,Monday,20,1,0,1,low
Albury,6,Monday,22,1,0,0,low
Albury,6,Saturday,0,3,0,0,low
Albury,6,Saturday,2,1,0,0,low
Albury,6,Saturday,4,1,0,0,low
Albury,6,Saturday,6,1,1,0,low
Albury,6,Saturday,8,1,0,0,low
Albury,6,Saturday,10,3,0,3,low
Albury,6,Saturday,14,3,0,0,low
Albury,6,Saturday,16,1,0,0,low
Albury,6,Saturday,22,1,0,0,low
Albury,6,Sunday,2,5,0,1,low
Albury,6,Sunday,8,1,0,0,low
Albury,6,Sunday,12,4,0,1,low
Albury,6,Sunday,14,3,0,0,low
Albury,6,Sunday,16,4,0,2,low
Albury,6,Thursday,4,1,0,0,low
Albury,6,Thursday,10,1,0,0,low
Albury,6,Thursday,12,2,0,1,low
Albury,6,Thursday,14,2,0,1,low
Albury,6,Thursday,16,1,0,0,low
Albury,6,Thursday,18,2,0,1,low
Albury,6,Tuesday,4,1,1,0,low
Albury,6,Tuesday,8,4,0,1,low
Albury,6,Tuesday,10,1,0,0,low
Albury,6,Tuesday,12,3,0,0,low
Albury,6,Tuesday,14,1,0,0,low
Albury,6,Tuesday,20,1,0,0,low
Albury,6,Tuesday,22,1,0,0,low
Albury,6,Wednesday,4,1,0,0,low
Albury,6,Wednesday,6,2,0,0,low
Albury,6,Wednesday,8,3,0,0,low
Albury,6,Wednesday,12,1,0,0,low
Albury,6,Wednesday,16,2,0,0,low
Albury,6,Wednesday,20,1,0,0,low
Albury,6,Wednesday,22,1,1,1,low
Albury,7,Friday,0,1,0,0,low
Albury,7,Friday,10,4,0,0,low
Albury,7,Friday,12,5,0,1,low
Albury,7,Friday,14,1,0,0,low
Albury,7,Friday,16,3,0,1,low
Albury,7,Friday,18,1,0,0,low
Albury,7,Friday,20,1,0,0,low
Albury,7,Friday,22,4,0,1,low
Albury,7,Monday,4,2,0,1,low
Albury,7,Monday,6,3,0,1,low
Albury,7,Monday,8,2,0,0,low
Albury,7,Monday,10,1,0,1,low
Albury,7,Monday,12,3,0,0,low
Albury,7,Monday,14,2,1,0,low
Albury,7,Monday,16,1,0,1,low
Albury,7,Monday,18,1,0,0,low
Albury,7,Monday,22,1,0,0,low
Albury,7,Saturday,0,2,0,1,low
Albury,7,Saturday,4,2,0,0,low
Albury,7,Saturday,8,1,0,0,low
Albury,7,Saturday,10,2,0,0,low
Albury,7,Saturday,12,2,1,0,low
Albury,7,Saturday,14,3,0,3,low
Albury,7,Saturday,18,2,0,1,low
Albury,7,Sunday,4,2,0,0,low
Albury,7,Sunday,6,1,0,0,low
Albury,7,Sunday,8,3,0,3,low
Albury,7,Sunday,10,2,0,0,low
Albury,7,Sunday,12,3,0,0,low
Albury,7,Sunday,14,2,1,0,low
Albury,7,Sunday,16,1,0,0,low
Albury,7,Thursday,8,2,0,0,low
Albury,7,Thursday,12,1,0,0,low
Albury,7,Thursday,14,3,0,0,low
Albury,7,Thursday,16,1,0,1,low
Albury,7,Thursday,18,2,0,1,low
Albury,7,Thursday,20,1,0,0,low
Albury,7,Thursday,22,2,0,1,low
Albury,7,Tuesday,6,3,0,0,low
Albury,7,Tuesday,8,2,0,1,low
Albury,7,Tuesday,10,2,0,0,low
Albury,7,Tuesday,12,1,0,0,low
Albury,7,Tuesday,14,1,0,0,low
Albury,7,Tuesday,16,1,0,1,low
Albury,7,Tuesday,18,2,0,0,low
Albury,7,Tuesday,20,2,0,0,low
Albury,7,Wednesday,2,1,0,1,low
Albury,7,Wednesday,4,1,0,0,low
Albury,7,Wednesday,6,1,0,0,low
Albury,7,Wednesday,12,2,0,2,low
Albury,7,Wednesday,14,1,0,0,low
Albury,7,Wednesday,16,2,0,0,low
Albury,7,Wednesday,18,2,0,1,low
Albury,7,Wednesday,22,1,0,0,low
Albury,8,Friday,0,1,0,0,low
Albury,8,Friday,6,1,0,0,low
Albury,8,Friday,8,4,0,1,low
Albury,8,Friday,10,1,0,0,low
Albury,8,Friday,14,4,0,0,low
Albury,8,Friday,16,3,0,0,low
Albury,8,Friday,18,4,1,2,low
Albury,8,Friday,22,2,0,0,low
Albury,8,Monday,2,1,0,0,low
Albury,8,Monday,6,1,0,0,low
Albury,8,Monday,8,3,0,1,low
Albury,8,Monday,10,1,0,0,low
Albury,8,Monday,16,2,0,0,low
Albury,8,Monday,18,2,0,0,low
Albury,8,Monday,22,2,0,1,low
Albury,8,Saturday,0,2,0,1,low
Albury,8,Saturday,10,3,0,0,low
Albury,8,Saturday,12,1,0,0,low
Albury,8,Saturday,14,2,0,0,low
Albury,8,Saturday,16,3,0,1,low
Albury,8,Saturday,18,2,0,0,low
Albury,8,Saturday,20,3,0,0,low
Albury,8,Saturday,22,1,0,0,low
Albury,8,Sunday,2,1,0,1,low
Albury,8,Sunday,4,1,0,1,low
Albury,8,Sunday,6,1,0,0,low
Albury,8,Sunday,8,1,0,0,low
Albury,8,Sunday,10,1,0,1,low
Albury,8,Sunday,12,1,0,0,low
Albury,8,Sunday,14,2,0,2,low
Albury,8,Sunday,16,2,0,1,low
Albury,8,Sunday,18,1,0,0,low
Albury,8,Sunday,20,1,0,0,low
Albury,8,Thursday,10,1,0,0,low
Albury,8,Thursday,12,1,1,0,low
Albury,8,Thursday,14,4,0,1,low
Albury,8,Thursday,16,2,0,0,low
Albury,8,Thursday,18,1,0,0,low
Albury,8,Tuesday,2,2,0,0,low
Albury,8,Tuesday,4,1,0,0,low
Albury,8,Tuesday,8,1,0,0,low
Albury,8,Tuesday,10,2,0,0,low
Albury,8,Tuesday,12,3,0,1,low
Albury,8,Tuesday,14,3,0,0,low
Albury,8,Tuesday,16,5,0,1,low
Albury,8,Tuesday,18,1,0,0,low
Albury,8,Wednesday,4,2,0,1,low
Albury,8,Wednesday,6,3,0,2,low
Albury,8,Wednesday,8,2,0,0,low
Albury,8,Wednesday,10,1,0,1,low
Albury,8,Wednesday,12,2,0,1,low
Albury,8,Wednesday,16,6,0,2,medium
Albury,8,Wednesday,18,2,0,0,low
Albury,9,Friday,2,2,0,0,low
Albury,9,Friday,4,1,0,0,low
Albury,9,Friday,6,3,0,0,low
Albury,9,Friday,8,2,0,0,low
Albury,9,Friday,12,2,0,2,low
Albury,9,Friday,14,2,0,0,low
Albury,9,Friday,16,1,0,0,low
Albury,9,Friday,18,2,0,0,low
Albury,9,Friday,20,1,0,0,low
Albury,9,Monday,6,2,0,1,low
Albury,9,Monday,8,2,0,0,low
Albury,9,Monday,10,2,0,1,low
Albury,9,Monday,12,2,0,1,low
Albury,9,Monday,14,2,0,0,low
Albury,9,Monday,16,3,0,0,low
Albury,9,Monday,18,1,0,1,low
Albury,9,Monday,20,3,0,0,low
Albury,9,Saturday,0,1,1,0,low
Albury,9,Saturday,4,1,0,0,low
Albury,9,Saturday,6,1,0,0,low
Albury,9,Saturday,8,2,0,1,low
Albury,9,Saturday,12,3,0,0,low
Albury,9,Saturday,14,1,0,0,low
Albury,9,Saturday,16,2,0,0,low
Albury,9,Saturday,18,3,1,2,low
Albury,9,Saturday,20,1,0,0,low
Albury,9,Sunday,4,1,0,0,low
Albury,9,Sunday,6,1,0,0,low
Albury,9,Sunday,8,1,0,0,low
Albury,9,Sunday,10,3,0,0,low
Albury,9,Sunday,12,4,0,1,low
Albury,9,Sunday,14,2,0,0,low
Albury,9,Sunday,20,2,0,0,low
Albury,9,Thursday,2,1,0,1,low
Albury,9,Thursday,4,1,0,1,low
Albury,9,Thursday,6,1,0,0,low
Albury,9,Thursday,10,2,0,0,low
Albury,9,Thursday,12,1,1,0,low
Albury,9,Thursday,16,2,0,0,low
Albury,9,Thursday,18,2,0,1,low
Albury,9,Thursday,20,3,0,1,low
Albury,9,Tuesday,6,2,0,0,low
Albury,9,Tuesday,8,1,0,1,low
Albury,9,Tuesday,10,1,1,1,low
Albury,9,Tuesday,12,1,0,1,low
Albury,9,Tuesday,14,2,0,1,low
Albury,9,Tuesday,16,1,0,0,low
Albury,9,Tuesday,18,6,1,1,medium
Albury,9,Tuesday,22,1,0,0,low
Albury,9,Wednesday,4,1,0,0,low
Albury,9,Wednesday,6,3,0,2,low
