datetime,alert_count,alert_effects,affected_routes,location
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Sydney CBD
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Parramatta
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Liverpool
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Penrith
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Bondi
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Manly
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Newcastle
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Wollongong
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Coffs Harbour
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Port Macquarie
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Byron Bay
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Nowra
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Orange
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Dubbo
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Tamworth
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Wagga Wagga
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Albury
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Bathurst
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Broken Hill
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Armidale
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Katoomba
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Perisher
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Canberra
2022-11-24 17:00:00,24,6,2454_N70|2504_N70|2504_N71|2507_N80|2507_N81|2459_415|2459_461N|2459_461X|2459_530,Cessnock
